"","Date","Year","Month","Day","Port","Landing_tm"
"1",2011-01-01,2011,1,1,"TAMBODMORA",0
"2",2011-01-02,2011,1,2,"TAMBODMORA",0
"3",2011-01-03,2011,1,3,"TAMBODMORA",0
"4",2011-01-04,2011,1,4,"TAMBODMORA",0
"5",2011-01-05,2011,1,5,"TAMBODMORA",0
"6",2011-01-06,2011,1,6,"TAMBODMORA",770
"7",2011-01-07,2011,1,7,"TAMBODMORA",1709
"8",2011-01-08,2011,1,8,"TAMBODMORA",5126
"9",2011-01-09,2011,1,9,"TAMBODMORA",6239
"10",2011-01-10,2011,1,10,"TAMBODMORA",2804
"11",2011-01-11,2011,1,11,"TAMBODMORA",1789
"12",2011-01-12,2011,1,12,"TAMBODMORA",1820
"13",2011-01-13,2011,1,13,"TAMBODMORA",2982
"14",2011-01-14,2011,1,14,"TAMBODMORA",4539
"15",2011-01-15,2011,1,15,"TAMBODMORA",3755
"16",2011-01-16,2011,1,16,"TAMBODMORA",4999
"17",2011-01-17,2011,1,17,"TAMBODMORA",3595
"18",2011-01-18,2011,1,18,"TAMBODMORA",0
"19",2011-01-19,2011,1,19,"TAMBODMORA",0
"20",2011-01-20,2011,1,20,"TAMBODMORA",0
"21",2011-01-21,2011,1,21,"TAMBODMORA",0
"22",2011-01-22,2011,1,22,"TAMBODMORA",0
"23",2011-01-23,2011,1,23,"TAMBODMORA",0
"24",2011-01-24,2011,1,24,"TAMBODMORA",0
"25",2011-01-25,2011,1,25,"TAMBODMORA",0
"26",2011-01-26,2011,1,26,"TAMBODMORA",0
"27",2011-01-27,2011,1,27,"TAMBODMORA",0
"28",2011-01-28,2011,1,28,"TAMBODMORA",0
"29",2011-01-29,2011,1,29,"TAMBODMORA",0
"30",2011-01-30,2011,1,30,"TAMBODMORA",0
"31",2011-01-31,2011,1,31,"TAMBODMORA",0
"32",2011-02-01,2011,2,1,"TAMBODMORA",0
"33",2011-02-02,2011,2,2,"TAMBODMORA",0
"34",2011-02-03,2011,2,3,"TAMBODMORA",0
"35",2011-02-04,2011,2,4,"TAMBODMORA",0
"36",2011-02-05,2011,2,5,"TAMBODMORA",0
"37",2011-02-06,2011,2,6,"TAMBODMORA",0
"38",2011-02-07,2011,2,7,"TAMBODMORA",0
"39",2011-02-08,2011,2,8,"TAMBODMORA",0
"40",2011-02-09,2011,2,9,"TAMBODMORA",0
"41",2011-02-10,2011,2,10,"TAMBODMORA",0
"42",2011-02-11,2011,2,11,"TAMBODMORA",0
"43",2011-02-12,2011,2,12,"TAMBODMORA",0
"44",2011-02-13,2011,2,13,"TAMBODMORA",0
"45",2011-02-14,2011,2,14,"TAMBODMORA",0
"46",2011-02-15,2011,2,15,"TAMBODMORA",0
"47",2011-02-16,2011,2,16,"TAMBODMORA",0
"48",2011-02-17,2011,2,17,"TAMBODMORA",0
"49",2011-02-18,2011,2,18,"TAMBODMORA",0
"50",2011-02-19,2011,2,19,"TAMBODMORA",0
"51",2011-02-20,2011,2,20,"TAMBODMORA",0
"52",2011-02-21,2011,2,21,"TAMBODMORA",0
"53",2011-02-22,2011,2,22,"TAMBODMORA",0
"54",2011-02-23,2011,2,23,"TAMBODMORA",0
"55",2011-02-24,2011,2,24,"TAMBODMORA",0
"56",2011-02-25,2011,2,25,"TAMBODMORA",0
"57",2011-02-26,2011,2,26,"TAMBODMORA",0
"58",2011-02-27,2011,2,27,"TAMBODMORA",0
"59",2011-02-28,2011,2,28,"TAMBODMORA",0
"60",2011-03-01,2011,3,1,"TAMBODMORA",0
"61",2011-03-02,2011,3,2,"TAMBODMORA",0
"62",2011-03-03,2011,3,3,"TAMBODMORA",0
"63",2011-03-04,2011,3,4,"TAMBODMORA",0
"64",2011-03-05,2011,3,5,"TAMBODMORA",0
"65",2011-03-06,2011,3,6,"TAMBODMORA",0
"66",2011-03-07,2011,3,7,"TAMBODMORA",0
"67",2011-03-08,2011,3,8,"TAMBODMORA",0
"68",2011-03-09,2011,3,9,"TAMBODMORA",0
"69",2011-03-10,2011,3,10,"TAMBODMORA",0
"70",2011-03-11,2011,3,11,"TAMBODMORA",0
"71",2011-03-12,2011,3,12,"TAMBODMORA",0
"72",2011-03-13,2011,3,13,"TAMBODMORA",0
"73",2011-03-14,2011,3,14,"TAMBODMORA",0
"74",2011-03-15,2011,3,15,"TAMBODMORA",0
"75",2011-03-16,2011,3,16,"TAMBODMORA",0
"76",2011-03-17,2011,3,17,"TAMBODMORA",0
"77",2011-03-18,2011,3,18,"TAMBODMORA",0
"78",2011-03-19,2011,3,19,"TAMBODMORA",0
"79",2011-03-20,2011,3,20,"TAMBODMORA",0
"80",2011-03-21,2011,3,21,"TAMBODMORA",0
"81",2011-03-22,2011,3,22,"TAMBODMORA",0
"82",2011-03-23,2011,3,23,"TAMBODMORA",0
"83",2011-03-24,2011,3,24,"TAMBODMORA",0
"84",2011-03-25,2011,3,25,"TAMBODMORA",0
"85",2011-03-26,2011,3,26,"TAMBODMORA",0
"86",2011-03-27,2011,3,27,"TAMBODMORA",0
"87",2011-03-28,2011,3,28,"TAMBODMORA",0
"88",2011-03-29,2011,3,29,"TAMBODMORA",0
"89",2011-03-30,2011,3,30,"TAMBODMORA",0
"90",2011-03-31,2011,3,31,"TAMBODMORA",0
"91",2011-04-01,2011,4,1,"TAMBODMORA",830
"92",2011-04-02,2011,4,2,"TAMBODMORA",1240
"93",2011-04-03,2011,4,3,"TAMBODMORA",6115
"94",2011-04-04,2011,4,4,"TAMBODMORA",3755
"95",2011-04-05,2011,4,5,"TAMBODMORA",2525
"96",2011-04-06,2011,4,6,"TAMBODMORA",4720
"97",2011-04-07,2011,4,7,"TAMBODMORA",4105
"98",2011-04-08,2011,4,8,"TAMBODMORA",3476
"99",2011-04-09,2011,4,9,"TAMBODMORA",6000
"100",2011-04-10,2011,4,10,"TAMBODMORA",6010
"101",2011-04-11,2011,4,11,"TAMBODMORA",4710
"102",2011-04-12,2011,4,12,"TAMBODMORA",6150
"103",2011-04-13,2011,4,13,"TAMBODMORA",5690
"104",2011-04-14,2011,4,14,"TAMBODMORA",4140
"105",2011-04-15,2011,4,15,"TAMBODMORA",4520
"106",2011-04-16,2011,4,16,"TAMBODMORA",6880
"107",2011-04-17,2011,4,17,"TAMBODMORA",5378
"108",2011-04-18,2011,4,18,"TAMBODMORA",5812
"109",2011-04-19,2011,4,19,"TAMBODMORA",6530
"110",2011-04-20,2011,4,20,"TAMBODMORA",5224
"111",2011-04-21,2011,4,21,"TAMBODMORA",4867
"112",2011-04-22,2011,4,22,"TAMBODMORA",7028
"113",2011-04-23,2011,4,23,"TAMBODMORA",5278
"114",2011-04-24,2011,4,24,"TAMBODMORA",4886
"115",2011-04-25,2011,4,25,"TAMBODMORA",5990
"116",2011-04-26,2011,4,26,"TAMBODMORA",5385
"117",2011-04-27,2011,4,27,"TAMBODMORA",5870
"118",2011-04-28,2011,4,28,"TAMBODMORA",4041
"119",2011-04-29,2011,4,29,"TAMBODMORA",5919
"120",2011-04-30,2011,4,30,"TAMBODMORA",2652
"121",2011-05-01,2011,5,1,"TAMBODMORA",3364
"122",2011-05-02,2011,5,2,"TAMBODMORA",1335
"123",2011-05-03,2011,5,3,"TAMBODMORA",62
"124",2011-05-04,2011,5,4,"TAMBODMORA",0
"125",2011-05-05,2011,5,5,"TAMBODMORA",4361
"126",2011-05-06,2011,5,6,"TAMBODMORA",5617
"127",2011-05-07,2011,5,7,"TAMBODMORA",2528
"128",2011-05-08,2011,5,8,"TAMBODMORA",3124
"129",2011-05-09,2011,5,9,"TAMBODMORA",4904
"130",2011-05-10,2011,5,10,"TAMBODMORA",3140
"131",2011-05-11,2011,5,11,"TAMBODMORA",300
"132",2011-05-12,2011,5,12,"TAMBODMORA",696
"133",2011-05-13,2011,5,13,"TAMBODMORA",3035
"134",2011-05-14,2011,5,14,"TAMBODMORA",4472
"135",2011-05-15,2011,5,15,"TAMBODMORA",5941
"136",2011-05-16,2011,5,16,"TAMBODMORA",1510.8
"137",2011-05-17,2011,5,17,"TAMBODMORA",3071
"138",2011-05-18,2011,5,18,"TAMBODMORA",624
"139",2011-05-19,2011,5,19,"TAMBODMORA",3862
"140",2011-05-20,2011,5,20,"TAMBODMORA",5082
"141",2011-05-21,2011,5,21,"TAMBODMORA",6016
