Date;Year;Month;Day;PAITA;PARACHIQUE;CHICAMA;SALAVERRY;CHIMBOTE;SAMANCO;CASMA;HUARMEY;SUPE;VEGUETA;HUACHO;CHANCAY;CALLAO;TAMBODMORA;PISCO;ATICO;PLANCHADA;QUILCA;MOLLLEND;ILO;TOTAL
01/01/00;2000;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3188;4094;7282
01/02/00;2000;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;783;3285;4068
01/03/00;2000;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1774;5734;7508
01/04/00;2000;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2498;9620;12118
01/05/00;2000;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1067;393;0;4933;13747;20140
01/06/00;2000;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;678;693;0;5188;9417;15976
01/07/00;2000;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;909;758;0;2339;8902;12908
01/08/00;2000;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;336;0;4426;13091;17853
01/09/00;2000;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;669;443;0;712;3836;5660
01/10/00;2000;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;412;270;0;326;2743;3751
01/11/00;2000;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1845;1870;0;234;2818;6767
01/12/00;2000;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2191;1644;0;578;2528;6941
01/13/00;2000;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1359;1834;0;1860;102;5155
01/14/00;2000;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1882;3132;0;3383;959;9356
01/15/00;2000;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2034;3595;0;6338;9565;21532
01/16/00;2000;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;954;1149;0;3065;11243;16411
01/17/00;2000;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1488;966;0;1876;6130;10460
01/18/00;2000;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1198;21;0;444;4730;6393
01/19/00;2000;1;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2227;2136;0;1045;3893;9301
01/20/00;2000;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1687;2699;0;1279;2547;8212
01/21/00;2000;1;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;385;1845;0;1687;5343;9260
01/22/00;2000;1;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1068;1938;0;1047;1889;5942
01/23/00;2000;1;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1769;1813;0;4349;2091;10022
01/24/00;2000;1;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;944;1647;0;2782;6860;12233
01/25/00;2000;1;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;575;545;0;4273;5223;10616
01/26/00;2000;1;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;349;1386;0;2666;5300;9701
01/27/00;2000;1;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224;844;0;3572;6988;11628
01/28/00;2000;1;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;429;0;2274;1497;4200
01/29/00;2000;1;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3023;5435;8458
01/30/00;2000;1;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;690;0;0;3857;4264;8811
01/31/00;2000;1;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;238;323;0;333;2137;3031
02/01/00;2000;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1386;87;0;143;3263;4879
02/02/00;2000;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;756;197;0;335;1749;3037
02/03/00;2000;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;541;40;0;970;3712;5263
02/04/00;2000;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;278;377;0;921;5241;6817
02/05/00;2000;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;900;1115;0;2925;7331;12271
02/06/00;2000;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1043;0;1504;4511;7058
02/07/00;2000;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;232;0;401;395;1028
02/08/00;2000;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;887;887
02/09/00;2000;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;344;344
02/10/00;2000;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;608;608
02/11/00;2000;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;418;418
02/12/00;2000;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;439;0;0;56;925;1420
02/13/00;2000;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;178;1235;1413
02/14/00;2000;2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;353;163;0;1005;1792;3313
02/15/00;2000;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;708;0;0;606;1029;2343
02/16/00;2000;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2001;330;0;478;783;3592
02/17/00;2000;2;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1460;1702;0;573;138;3873
02/18/00;2000;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1615;1650;0;0;29;3294
02/19/00;2000;2;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;648;443;0;70;0;1161
02/20/00;2000;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1795;266;0;223;69;2353
02/21/00;2000;2;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1993;1451;0;62;16;3522
02/22/00;2000;2;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1834;2670;0;149;445;5098
02/23/00;2000;2;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;863;1033;0;0;450;2346
02/24/00;2000;2;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;509;205;0;0;1618;2332
02/25/00;2000;2;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;600;773;0;59;313;1745
02/26/00;2000;2;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;772;901;0;0;1215;2888
02/27/00;2000;2;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;187;700;935
02/28/00;2000;2;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;875;904
02/29/00;2000;2;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1025;1025
03/01/00;2000;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;668;668
03/02/00;2000;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88;88
03/03/00;2000;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;52
03/04/00;2000;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;544;0;0;0;0;544
03/05/00;2000;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;700;0;0;0;0;700
03/06/00;2000;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;343;0;0;0;0;343
03/07/00;2000;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;553;553
03/08/00;2000;3;8;2645;5302;4021;0;25378.597;303.88;791.068;435;408;2719;1693;7771;3606;2445;8831;0;0;0;0;602;66951.545
03/09/00;2000;3;9;1392;3705;6516;0;28297.619;2127.076;1872.059;827;1975;2507;952;13292;4512;4825;11445;0;0;0;0;521;84765.754
03/10/00;2000;3;10;4133;5112;6424;0;28313.012;2115.03;3170.51;2098;1230;1911;1802;12070;4945;5166;11154;0;0;0;0;199;89842.552
03/11/00;2000;3;11;4028;4004;8015;0;23487.729;2090.34;1847.472;4117;1371;3861;2138;12683;3779;4417;11311;0;0;0;0;204;87353.541
03/12/00;2000;3;12;5256;4935;7073;0;17438.158;775.84;1955.292;4240;3891;4267;3244;9655;3451;4830;10640;0;0;0;0;0;81651.29
03/13/00;2000;3;13;5456;4043;4117;0;19128.519;1289.523;2753.065;4436;8290;4383;4292;10061;3441;4476;9211;0;0;0;0;96;85473.107
03/14/00;2000;3;14;3862;3742;4878;0;20448.916;973.43;3676.778;3508;7274;5003;3772;13709;3985;3172;9645;0;0;0;0;0;87649.124
03/15/00;2000;3;15;3761;3921;2083;0;20001.525;2108.142;1621.034;2118;5319;4068;3577;12126;3985;4372;11096;0;0;0;0;37;80193.701
03/16/00;2000;3;16;5159;4583;3348;0;31185.08;1947.831;4423.658;1706;3586;2573;3289;9368;2728;4142;11327;0;0;0;0;0;89365.569
03/17/00;2000;3;17;2586;4352;3577;0;31299.272;1549.607;5125.308;1408;1011;381;2077;10548;4133;2781;8090;0;0;0;0;0;78918.187
03/18/00;2000;3;18;3872;4535;167;0;25143.128;1819.954;4038.027;1033;666;3570;733;8696;4390;2212;6352;0;0;0;0;0;67227.109
03/19/00;2000;3;19;3155;4656;543;0;16771.359;1534.163;3144.352;1623;0;954;312;13364;4383;1969;8219;0;0;0;0;0;60627.874
03/20/00;2000;3;20;2659;4071;756;0;14109.23;1483.2;3087.211;3665;3204;3310;1786;13076;4937;5632;9434;0;0;0;0;0;71209.641
