I/P;Periodo;Mes ;Ano;GNR;GR;GH;GP;GJ;TOTAL GUANAY POR ISLA;PNR;PR;PH;PP;PJ;TOTAL PIQUERO POR ISLA;ANR;AR;AH;AP;AJ;TOTAL ALCATRAZ POR ISLA
LT;Jan 03;1;2003;0;0;0;137;0;0;3400;240;0;8925;0;3640;200;16800;0;0;0;17000
LA;Jan 03;1;2003;0;0;0;0;0;0;0;20000;0;10000;0;20000;1000;0;0;0;0;1000
MC;Jan 03;1;2003;18500;19020;0;0;19020;37520;11325;15000;0;10000;5250;26325;8850;15000;700;50000;10000;23850
GN;Jan 03;1;2003;15000;0;0;0;7500;15000;40000;0;0;0;10000;40000;50;0;0;0;1300;50
GS;Jan 03;1;2003;4900;21000;0;0;7000;25900;7000;32800;0;47100;2800;39800;500;3500;0;5500;0;4000
CH;Jan 03;1;2003;2500;2500;0;7500;0;5000;0;0;0;0;0;0;0;0;0;0;0;0
CO;Jan 03;1;2003;600;0;0;0;0;600;0;1300;0;1300;0;1300;0;0;0;0;0;0
SA;Jan 03;1;2003;0;0;0;0;0;0;200;200;0;400;0;400;180;120;0;240;0;300
FN;Jan 03;1;2003;500;0;0;0;0;500;4000;1000;0;1600;0;5000;300;0;0;0;0;300
CL;Jan 03;1;2003;0;0;0;0;0;0;320;0;0;0;0;320;0;0;0;0;0;0
DM;Jan 03;1;2003;3500;0;0;0;0;3500;5000;0;0;0;0;5000;100;0;0;0;0;100
SL;Jan 03;1;2003;20;0;0;0;0;20;100;0;0;0;0;100;60;0;0;0;0;60
HU;Jan 03;1;2003;4000;0;0;0;0;4000;4100;0;0;0;0;4100;50;0;0;0;0;50
MZ;Jan 03;1;2003;8750;70000;0;90000;0;78750;106000;102000;0;151500;9250;208000;0;0;0;0;0;0
PE;Jan 03;1;2003;4280;0;0;0;0;4280;65200;180;0;360;0;65380;80;0;0;0;0;80
CA;Jan 03;1;2003;0;0;0;0;0;0;800;10;0;0;0;810;0;0;0;0;0;0
PCH;Jan 03;1;2003;0;0;0;0;0;0;1500;0;0;0;0;1500;45;0;0;0;0;45
AS;Jan 03;1;2003;7000;0;0;0;0;7000;3000;0;0;0;0;3000;2200;800;0;1400;0;3000
CHN;Jan 03;1;2003;550;0;0;0;0;550;77250;12600;0;21530;0;89850;700;150;100;0;0;850
CHC;Jan 03;1;2003;0;0;0;0;0;0;1200;23055;0;40055;0;24255;0;0;0;0;0;0
CHS;Jan 03;1;2003;0;0;0;0;0;0;50520;16080;23250;0;0;66600;0;0;0;0;0;0
BA;Jan 03;1;2003;144980;23400;3120;1000;42500;168380;54100;36800;0;63200;0;90900;45;0;0;0;0;45
LV;Jan 03;1;2003;0;0;0;0;0;0;900;300;0;600;0;1200;0;0;0;0;0;0
SR;Jan 03;1;2003;230000;42000;7500;12500;0;272000;120500;12500;3000;4250;0;133000;500;300;375;0;0;800
LO;Jan 03;1;2003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SJ;Jan 03;1;2003;1600;53900;52800;1100;0;55500;5825;0;0;0;0;5825;64;7410;7410;360;0;7474
LM;Jan 03;1;2003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AT;Jan 03;1;2003;0;0;0;0;0;0;60;0;0;0;0;60;90;0;0;0;0;90
LCH;Jan 03;1;2003;2000;0;0;0;0;2000;500;0;0;0;0;500;50;0;0;0;0;50
PC;Jan 03;1;2003;20000;0;0;0;0;20000;2500;0;0;0;0;2500;9250;6000;0;12000;0;15250
LT;Feb 03;2;2003;2500;0;0;0;0;2500;3200;0;0;0;0;3200;500;18000;0;16000;500;18500
LA;Feb 03;2;2003;0;0;0;0;0;0;0;5000;0;3000;0;5000;1000;0;0;0;0;1000
MC;Feb 03;2;2003;25000;0;0;0;0;25000;41200;12200;0;30;11920;53400;7500;45000;0;45000;1500;52500
GN;Feb 03;2;2003;5000;0;0;0;0;5000;49000;0;0;0;0;49000;50;650;0;1300;1300;700
GS;Feb 03;2;2003;32000;0;0;0;31100;32000;51600;25900;0;40850;600;77500;500;3500;0;5500;0;4000
CH;Feb 03;2;2003;500;0;0;0;0;500;5000;0;0;0;0;5000;1500;0;0;0;0;1500
CO;Feb 03;2;2003;300;2500;0;0;0;2800;0;0;0;800;400;0;0;0;0;0;0;0
SA;Feb 03;2;2003;0;0;0;0;0;0;600;200;0;400;0;800;230;120;0;240;0;350
FN;Feb 03;2;2003;300;0;0;0;0;300;3000;0;0;0;1000;3000;200;0;0;0;0;200
CL;Feb 03;2;2003;0;0;0;0;0;0;350;0;0;0;0;350;0;0;0;0;0;0
DM;Feb 03;2;2003;300;0;0;0;0;300;2000;0;;0;0;2000;400;0;0;0;0;400
SL;Feb 03;2;2003;100;0;0;0;0;100;200;0;0;0;0;200;150;0;0;0;0;150
HU;Feb 03;2;2003;600;0;0;0;0;600;1300;0;0;200;200;1300;50;0;0;0;0;50
MZ;Feb 03;2;2003;17500;70000;0;90000;2500;87500;137000;25000;0;62500;13100;162000;0;0;0;0;0;0
PE;Feb 03;2;2003;90400;900;0;0;0;91300;111800;200;0;400;0;112000;1800;0;0;0;0;1800
CA;Feb 03;2;2003;0;0;0;0;0;0;3480;20;0;40;10;3500;0;0;0;0;0;0
PCH;Feb 03;2;2003;910;0;0;0;0;910;3000;0;0;0;0;3000;300;0;0;0;0;300
AS;Feb 03;2;2003;9000;0;0;0;0;9000;39000;0;0;0;0;39000;3700;800;0;100;0;4500
CHN;Feb 03;2;2003;50000;0;0;0;0;50000;106010;10000;0;12620;0;116010;2070;150;0;150;0;2220
CHC;Feb 03;2;2003;0;0;0;0;0;0;2477;11805;0;20357;0;14282;0;0;0;0;0;0
CHS;Feb 03;2;2003;0;0;0;0;0;0;3220;1063;0;1350;0;4283;15;0;0;0;0;15
BA;Feb 03;2;2003;110460;14240;0;2950;38100;124700;28070;10480;0;41920;0;38550;35;0;0;0;0;35
LV;Feb 03;2;2003;0;0;0;0;0;0;300;210;0;420;0;510;0;0;0;0;0;0
SR;Feb 03;2;2003;25300;30000;0;12500;12500;55300;141500;8500;0;4250;4250;150000;700;100;0;0;0;800
LO;Feb 03;2;2003;300;0;0;0;0;300;100;50;0;50;0;150;200;0;0;0;0;200
SJ;Feb 03;2;2003;48064;8536;0;8536;0;56600;1384;478;0;478;0;1862;258;4395;0;4395;0;4653
LM;Feb 03;2;2003;32;0;0;0;0;32;0;0;0;0;0;0;48;0;0;0;0;48
AT;Feb 03;2;2003;30;0;0;0;0;30;180;0;0;0;0;180;50;0;0;0;0;50
LCH;Feb 03;2;2003;660;0;0;0;0;660;1710;0;0;0;0;1710;160;0;0;0;0;160
