"Colony","Month","Year","Date","NBrC","BrC","EgC","ChC","JuC","TotC","NBrB","BrB","EgB","ChB","JuB","TotB","NBrP","BrP","EgP","ChP","JuP","TotP"
"CHN",1,2000,2000-01-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,48900,NA,NA,NA,NA,NA,80
"CHC",1,2000,2000-01-15,NA,NA,NA,NA,NA,60000,NA,NA,NA,NA,NA,130420,NA,NA,NA,NA,NA,60
"CHS",1,2000,2000-01-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,21600,NA,NA,NA,NA,NA,23
"BA",1,2000,2000-01-15,NA,NA,NA,NA,NA,481,NA,NA,NA,NA,NA,71850,NA,NA,NA,NA,NA,0
"CHN",2,2000,2000-02-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,48900,NA,NA,NA,NA,NA,36
"CHC",2,2000,2000-02-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,26475,NA,NA,NA,NA,NA,0
"CHS",2,2000,2000-02-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,23637,NA,NA,NA,NA,NA,0
"BA",2,2000,2000-02-15,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,58960,NA,NA,NA,NA,NA,0
"CHN",3,2000,2000-03-15,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,122545,NA,NA,NA,NA,NA,50
"CHC",3,2000,2000-03-15,NA,NA,NA,NA,NA,800,NA,NA,NA,NA,NA,19415,NA,NA,NA,NA,NA,25
"CHS",3,2000,2000-03-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,10800,NA,NA,NA,NA,NA,0
"BA",3,2000,2000-03-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,3850,NA,NA,NA,NA,NA,0
"CHN",4,2000,2000-04-15,NA,NA,NA,NA,NA,26500,NA,NA,NA,NA,NA,155200,NA,NA,NA,NA,NA,508
"CHC",4,2000,2000-04-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,55495,NA,NA,NA,NA,NA,32
"CHS",4,2000,2000-04-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,5980,NA,NA,NA,NA,NA,25
"BA",4,2000,2000-04-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,17000,NA,NA,NA,NA,NA,0
"CHN",5,2000,2000-05-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,50580,NA,NA,NA,NA,NA,680
"CHC",5,2000,2000-05-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,6000,NA,NA,NA,NA,NA,8
"CHS",5,2000,2000-05-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,9900,NA,NA,NA,NA,NA,20
