Year;Month;Date;N_tourist;N_touristMPA
2008;1;Jan 08;6725;NA
2008;2;Feb 08;7032;NA
2008;3;Mrz 08;5191;NA
2008;4;Apr 08;6580;NA
2008;5;Mai 08;8115;NA
2008;6;Jun 08;6685;NA
2008;7;Jul 08;14216;NA
2008;8;Aug 08;3837;NA
2008;9;Sep 08;5089;NA
2008;10;Okt 08;5475;NA
2008;11;Nov 08;4364;NA
2008;12;Dez 08;6735;NA
2009;1;Jan 09;11614;NA
2009;2;Feb 09;10068;NA
2009;3;Mrz 09;9599;NA
2009;4;Apr 09;12276;NA
2009;5;Mai 09;10881;NA
2009;6;Jun 09;6942;NA
2009;7;Jul 09;14511;NA
2009;8;Aug 09;11654;NA
2009;9;Sep 09;8404;NA
2009;10;Okt 09;9450;NA
2009;11;Nov 09;10074;NA
2009;12;Dez 09;10508;NA
2010;1;Jan 10;16227;NA
2010;2;Feb 10;15537;NA
2010;3;Mrz 10;9237;NA
2010;4;Apr 10;12776;NA
2010;5;Mai 10;11610;NA
2010;6;Jun 10;7124;NA
2010;7;Jul 10;14662;NA
2010;8;Aug 10;14121;NA
2010;9;Sep 10;9095;NA
2010;10;Okt 10;12475;NA
2010;11;Nov 10;10850;NA
2010;12;Dez 10;8073;NA
2011;1;Jan 11;11043;4120
2011;2;Feb 11;9144;7521
2011;3;Mrz 11;9220;4399
2011;4;Apr 11;11258;15244
2011;5;Mai 11;5827;11805
2011;6;Jun 11;6590;9195
2011;7;Jul 11;12037;18089
2011;8;Aug 11;8504;17432
2011;9;Sep 11;7922;13033
2011;10;Okt 11;8910;18420
2011;11;Nov 11;6452;15163
2011;12;Dez 11;5456;12487
2012;1;Jan 12;11083;21420
2012;2;Feb 12;11647;20411
2012;3;Mrz 12;7936;14637
2012;4;Apr 12;11473;26103
2012;5;Mai 12;8262;14088
2012;6;Jun 12;9425;11041
2012;7;Jul 12;13329;19583
2012;8;Aug 12;12397;15384
2012;9;Sep 12;10819;14900
2012;10;Okt 12;10066;23017
2012;11;Nov 12;13132;17482
2012;12;Dez 12;10731;15881
2013;1;Jan 13;14742;25568
2013;2;Feb 13;16690;27299
2013;3;Mrz 13;15853;31350
2013;4;Apr 13;10676;11815
2013;5;Mai 13;7625;15924
2013;6;Jun 13;7921;12130
2013;7;Jul 13;10868;17775
2013;8;Aug 13;13573;21018
2013;9;Sep 13;9184;14956
2013;10;Okt 13;15670;20917
2013;11;Nov 13;16916;20195
2013;12;Dez 13;12714;16787
2014;1;Jan 14;22557;25054
2014;2;Feb 14;24152;30126
2014;3;Mrz 14;14546;24328
2014;4;Apr 14;20283;25328
2014;5;Mai 14;9447;13371
2014;6;Jun 14;6138;9585
2014;7;Jul 14;13857;22736
2014;8;Aug 14;13648;22587
2014;9;Sep 14;13038;11437
2014;10;Okt 14;12079;20133
2014;11;Nov 14;18611;20799
2014;12;Dez 14;11219;19208
2015;1;Jan 15;19668;44401
2015;2;Feb 15;18696;39991
2015;3;Mrz 15;16020;22934
2015;4;Apr 15;12694;31971
2015;5;Mai 15;6100;17586
2015;6;Jun 15;4587;18996
2015;7;Jul 15;7347;35651
2015;8;Aug 15;10559;23507
2015;9;Sep 15;5077;19805
2015;10;Okt 15;3624;32488
2015;11;Nov 15;3319;18577
2015;12;Dez 15;3660;18667
2016;1;Jan 16;13819;48011
2016;2;Feb 16;11712;43930
2016;3;Mrz 16;9612;42630
2016;4;Apr 16;7316;20750
2016;5;Mai 16;7983;23149
2016;6;Jun 16;6424;16681
2016;7;Jul 16;14673;47134
2016;8;Aug 16;17108;35409
2016;9;Sep 16;8013;22073
2016;10;Okt 16;10847;35311
2016;11;Nov 16;12184;36340
2016;12;Dez 16;8130;24997
2017;1;Jan 17;18263;47814
2017;2;Feb 17;15116;42433
2017;3;Mrz 17;12186;25843
2017;4;Apr 17;17010;41275
2017;5;Mai 17;8613;21579
2017;6;Jun 17;8529;22185
2017;7;Jul 17;14731;25554
2017;8;Aug 17;15388;34563
2017;9;Sep 17;7752;22215
2017;10;Okt 17;9316;31343
2017;11;Nov 17;12669;32632
2017;12;Dez 17;9593;41097
2018;1;Jan 18;22761;64243
2018;2;Feb 18;17451;65867
2018;3;Mrz 18;9265;61197
2018;4;Apr 18;13606;31550
2018;5;Mai 18;9522;24467
2018;6;Jun 18;7003;19678
2018;7;Jul 18;14960;43021
2018;8;Aug 18;16907;47375
2018;9;Sep 18;11023;28165
2018;10;Okt 18;10501;36562
2018;11;Nov 18;12409;40349
2018;12;Dez 18;6460;36725
2019;1;Jan 19;NA;66109
2019;2;Feb 19;NA;65065
2019;3;Mrz 19;NA;43209
2019;4;Apr 19;NA;50224
2019;5;Mai 19;NA;23998
2019;6;Jun 19;NA;23987
2019;7;Jul 19;NA;44313
2019;8;Aug 19;NA;51998
2019;9;Sep 19;NA;33816
2019;10;Okt 19;NA;55395
2019;11;Nov 19;NA;55627
2019;12;Dez 19;NA;40969
2020;1;Jan 20;NA;75861
2020;2;Feb 20;NA;88593
2020;3;Mrz 20;NA;25907
2020;4;Apr 20;NA;0
2020;5;Mai 20;NA;0
2020;6;Jun 20;NA;0
2020;7;Jul 20;NA;0
2020;8;Aug 20;NA;0
2020;9;Sep 20;NA;0
2020;10;Okt 20;NA;0
2020;11;Nov 20;NA;0
2020;12;Dez 20;NA;0
